id,name,full_name,aliases,description,role,nationality,gender
115,Gennadi,,['krot'],"Former KGB agent, one of the last kroty (moles) who knows the underground tunnel network beneath Moscow. Older man in a crumpled coat with a miner's helmet headlamp. Has seen Stalinist-era skeletons in the tunnels — identifiable by the bullet holes in the back of their skulls. Dry and sardonic: Jesus never came down here.",minor,Russian,male
116,Alexei,,[],"Plainclothes FSB officer who escorts Eve on the two-day drive from Moscow to Perm. Divorced, with a girlfriend named Vika (librarian at MSU) and a dog named Archie. Classical music enthusiast, especially Rachmaninoff. Veteran of the Dubrovka Theatre siege.",minor,Russian,male
117,Galya,,[],"Fellow linguistics student of Oxana at St Petersburg University. Hair-trigger temperament, forever taking offence.",minor,Russian,female
118,Olga,,[],Fellow linguistics student of Oxana at St Petersburg University. Known for her smug veganism.,minor,Russian,female
119,Andris,,[],Fellow linguistics student of Oxana at St Petersburg University. Characterized by insufferable virtue-signalling.,minor,,male
120,Nastya,,[],"Linguistics lecturer at St Petersburg University. Young, attractive academic, married to a city duma deputy. Oxana flirts with her in class.",minor,Russian,female
121,Max,,[],"MI6 agent who posed as a Twelve operative at Apokalipsis. Lean, dark, thirty-something. Speaks flawless Russian but not a native speaker. Direct and self-assured in a linen suit with Gucci tie. At Transept House he admits lying to Villanelle and describes Eve as an SIS officer. Killed by Villanelle with a ceramic blade to the jugular — he bleeds out against a Gestetner photocopier.",minor,,male
122,Balice St Clair,Balice St Clair,['Maria' 'Balice'],"MI6 officer on the Russia desk who uses the alias Maria. Almost translucently pale skin, intense and magnetic presence. Posed as a Twelve operative at Apokalipsis to recruit Villanelle for a false-flag assassination. Flirtatious, strokes V s bicep at Harrods lunch. V grabs her by the throat to assert dominance. Arranged the Harrods meeting at the Guerlain counter.",supporting,,female
123,Ron Tiberius,Ron Tiberius,[],"American billionaire, massively but mysteriously wealthy. Residences in New York, London, Cap Ferrat, Telluride, and St Barth s. Personal friend of heads of state, media proprietors, billionaire entrepreneurs. In his fifties. Deals in favours and influence. Predatory paedophile who likes them young — uses trafficked teenagers and blackmails powerful guests with compromising photographs.",antagonist,American,male
124,Myrtha Willis,Myrtha Willis,['Sharky the Beaver'],"Former media trainee for the British Conservative Party. Had an affair with Tiberius. Now serves as his official date when needed and his primary scout for young girls, using his film and TV production companies as bait.",supporting,British,female
125,Lev Leonov,Lev Leonov,[],"Young Russian oligarch, owner of the Apokalipsis club on the Griboyedov Canal in St Petersburg. Very much on the make.",minor,Russian,male
126,Adam Fentiman,Adam Fentiman,[],"British politician, likely future Foreign Secretary. Oxford contemporary of the incoming Prime Minister, possible former fling. Former army officer with a shrapnel wound from the Gulf War. Compromised by a photograph with a minor on Tiberius yacht at La Napoule. Now essentially Tiberius puppet.",minor,British,male
127,Sergei Stepanenko,Sergei Stepanenko,['Sergei'],"Member of the Twelve. Fortyish, steel-grey hair, round spectacles, vaguely academic air. Quiet and cultivated, uses historical art references as conversational cover. Meets Villanelle at the State Russian Museum to reveal that Max and Maria are not Twelve operatives.",supporting,Russian,male
128,Kira,,[],Young woman in a tailored grey suit who greets Villanelle at a building near Moscow Station in St Petersburg. Formal in manner. Appears to be a Twelve operative or associate.,minor,Russian,female
129,Darren,,[],"Young, nervous, narrow-shouldered MI6 officer who manages the safe house on Ventnor Road in North Finchley. Apologises constantly, offers instant coffee and soya milk, asks for expense receipts. Suggests using the shower rather than the bath to save costs. The previous occupant was a drug gang boss with dandruff.",minor,British,male
130,Pippa,,[],"Tour leader of the Ossa and Pelion horticultural tour. About fifty, with choppy blonde hair, silk scarf knotted around her neck. Prepared to keep up appearances come what may. Shepherds the group with patient efficiency.",minor,British,female
131,Johnny Fernandes,,[],"Spry, silver-haired man of indeterminate age. Cover identity: retired Anglo-Asian widower with a passion for rose-growing. No stranger to the profession of arms. Iron grip and trim military bearing.",supporting,British,male
132,Ingo Vance,,[],"Theatre actor on the Ossa and Pelion horticultural tour. Theatrical personality, tells stories of blanking on stage during Hamlet or one of the Henrys. Married to Teazel Vance.",minor,British,male
133,Teazel Vance,,[],"Former teenage star of the 1970s TV series The Gumdrops, where she played Milly Mauve the lead singer. Pixie features, sits bolt upright, narrow shoulders wrapped in pashmina shawls. Reminds Villanelle of a mummified cat in the Hermitage Museum. Married to Ingo Vance.",minor,British,female
134,William Mortishead,,[],"Distinguished if dishevelled historian, writing a book about the younger Pitt. Mild blue gaze. Member of the Ossa and Pelion horticultural tour. Married to Lorna Mortishead.",minor,British,male
135,Lorna Mortishead,,[],"Sixtyish, with glossy chestnut hair and the bulging eyes of a spaniel. Semi-retired freelance editor. Member of the Ossa and Pelion horticultural tour. Married to William Mortishead.",minor,British,female
136,Dan Melbury,,[],TV celebrity who presents Topsoil on Channel 4. Expert garden lecturer for the Ossa and Pelion horticultural tour. His arrival sends a stir through the St Pancras departures hall.,minor,British,male
137,Lorelei Vane-Muir,,[],"Dramatic and outspoken member of the Ossa and Pelion horticultural tour. Arrives in a state of some confusion, loudly greets William Mortishead as darling, orders gin-tonic at 7am on the Eurostar. Calls the others dull dogs.",minor,British,female
138,Sylvie,,[],"Pornographic actress from Nice, twenty-four years old but looks much younger, like sixteen. Specialises in barely legal roles. Recruited by MI6 through coercion over unpaid taxes on her earnings. Approached by Myrtha Willis at a cafe in St-Sepulcre and invited to Ron Tiberius villa on Saturday.",minor,French,female
139,Comtesse de Quincy,,[],"Owner of the Pavillon du Rossignol near Poisy in Provence. Slender, silver-haired, wearing worn dungarees and tennis shoes. Her garden is a memorial to her late husband.",minor,French,female
140,Anna Volkonskaya,Anna Volkonskaya,[],"Opposition candidate in the Russian presidential election. Nationalist-traditionalist platform backed by the Orthodox Church. Champion of old values: duty, honour, and religious observance. A direct threat to President Tikhomirov. Possibly aligned with the Twelve.",minor,Russian,female
141,Valentin Dominik,Valentin Dominik,[],"Twenty-six-year-old adopted son of Nikolai Dominik, lives in the family mansion at Kensington Palace Gardens. Got a first from the LSE but is very much a party boy. Features in Tatler and Vogue. Has haemophilia B (not a weak heart as Nikolai claims). A direct descendant of the Romanovs: his great-grandmother was Alexandra Nikolaevna, secret daughter of Tsar Nicholas II, smuggled to France by Philippe de Lyon in 1903. Grew up poor in Marseilles, found by Sergei at age twelve. Dreams of painting birds. At the centre of Operation Sanctify.",supporting,Russian,male
142,Nikolai Dominik,Nikolai Dominik,[],"Wealthy Russian emigre patriarch. Old money — grandfather Feliks was a White Guard general who fled Russia in 1917 with gold and jewels. Family has fingers in art, property, banking. Despises Tikhomirov as a jumped-up functionary. Supports nationalist-traditionalist causes and the Orthodox Church.",minor,Russian,male
143,Uttara Khedkar,Uttara Khedkar,[],Daughter of a Bollywood film producer. Student at a culinary school in South Kensington. Stopped outside a Park Lane nightclub with two dozen wraps of cocaine. Blackmailed by Balice into serving as a waitress-spy at the Indian Military and Sporting Club in exchange for avoiding prison.,minor,Indian,female
144,Anastasia Dominik,Anastasia Dominik,[],"Wife of Nikolai Dominik and mother of Valentin. Volumised honey-blonde hair, cosmetically smoothed skin, and sulky indulged features of a Persian cat. Stoic and magnificent in crises: manages Valentin drunk collapse with composure, makes sandwiches, calls Armani Couture for Eve replacement jacket.",minor,Russian,female
145,Charlie St Clair,Charlie St Clair,['Charlie'],"Husband of Balice St Clair. Fast-track MI5 officer, now head of technical and surveillance operations including the elite A4 watchers team. Inter-service marriage with Balice, one of convenience for both. Not a first-class brain but makes her laugh. Fond of lingerie. Probably having an affair with his PA Dawn.",supporting,British,male
146,Dawn,Dawn,[],Personal assistant to Charlie St Clair at MI5. Probably having an affair with Charlie. Has a knowing glint in her eye when she meets Balice.,mentioned,British,female
147,Bilyana Ilieva,Bilyana Ilieva,['Bili'],"Bulgarian woman from Targovishte. Recruited by the Twelve at the Home Office during her British citizenship application — told she was working for British Intelligence. Handler was Johnny Fernandes. Sent to spy on and entrap Balice St Clair via a gym honey trap. Confesses the truth to Balice and proposes a deal: marriage for citizenship and a genuine MI6 job. Strong, direct, cheetah-like stillness. Wide-set gaze.",supporting,Bulgarian,female
148,Cecil Phipps,Cecil Phipps,[],Deputy to Balice St Clair on the MI6 Russia desk. Described as obnoxious and oleaginous. Sent to the Cabinet Office meeting at Downing Street in Balice place.,mentioned,British,male
149,Dimitri,Dimitri,[],Russian security guard at the Dominik Mansion. Works alongside Pavel. Will follow Valentin and the women at a distance to Nate Paget party.,mentioned,Russian,male
150,Nate Paget,Nate Paget,[],"Co-proprietor of Caspian's casino in Berkeley Square alongside Crispin Vale. Former school friend of Valentin Dominik. Tall, slender, with shadowy ironic eyes. Condescending toward those he considers beneath him.",minor,British,male
151,Larissa,Larissa,[],Maid at the Dominik Mansion. Brings trays of coffee to the guest rooms.,mentioned,Russian,female
152,Philippe de Lyon,Philippe de Lyon,[],"Mysterious French historical figure. Arrived in St Petersburg in 1901, destitute, after the birth of Nicholas II fourth daughter Anastasia. Promised Tsarina Alexandra a male heir — she miscarried and Philippe returned to France exceedingly wealthy. Alexei was not born until 1904. His portrait hangs in both the Dominik Mansion and a major Russian art gallery. Sergei pointed him out to Villanelle.",mentioned,French,male
153,Denis Borzhko,Denis Borzhko,[],Senior GRU officer. Dark-haired with a rough beard.,minor,Russian,male
154,Gyorgiy Peskov,Gyorgiy Peskov,[],"Senior GRU officer. Blond and heavy-set. Storms a Mayfair club with Borzhko armed with automatic pistols. Shot by Eve through the thumb and forefinger of his gun hand, then beaten and restrained by four dwarfs. Hospitalised at St Mary's under police guard.",minor,Russian,male
155,Pavel (Dominik security),,['Pavel'],Russian security man employed by the Dominik family at Kensington Palace Gardens. Works alongside Dimitri. Suggests following Valentin at a distance to the Mayfair club. Takes breakfast up to Valentin after the attack.,minor,Russian,male
156,Alexandra Nikolaevna,Alexandra Nikolaevna Romanova,['Alexandra'],"Secret daughter of Tsar Nicholas II and Tsarina Alexandra of Russia, born in 1903. Officially the pregnancy was declared a miscarriage. Philippe de Lyon smuggled her out of Russia as a newborn. She grew up in Avignon with a childless couple. Married, had a daughter, and that daughter had Valentin. Biological great-grandmother of Valentin Dominik.",mentioned,Russian,female
157,Indrani Sen,Indrani Sen,['Dr. Sen'],"Senior Intensive Care physician at St Marys Hospital in Paddington. Professional and efficient, with brisk economical movements. Treats Valentin Dominik for intracranial haemorrhage caused by haemophilia.",minor,British,female
158,Irene Mendoza,Irene Mendoza,[],"Filipino staff nurse at St Marys Hospital. Professional and caring, uses the nursing we. Moves Valentin from ICU to a side room. Wears Crocs.",minor,Filipino,female
159,Vyacheslav Golovkin,Vyacheslav Golovkin,['Slava'],"Press secretary to Anna Volkonskaya, the Russian presidential candidate. Formal and controlled, speaks in a terse register. Pressures Balice to locate Valentin Dominik.",minor,Russian,male
160,Dido,,[],"Niko Polastri's new partner. Red-haired, works in public relations. Has a golden retriever named Haribo. Nervous and easily embarrassed, polite and friendly.",minor,,female
161,Majid Ismailov,Majid Ismailov,[],"Patriarch of the Ismailov family. Iron-grey hair, hawkish features, sun-creased eyes. Metals magnate and owner of Buxor mining company. Billionaire, sixty-five years old. The most powerful man in Naziristan — the power behind the presidential throne. Responsible for scrapping capital controls and privatising state property. Passionate about horse racing — owns over twenty thoroughbreds at Newmarket. Played polo at Cambridge. Dreams of winning the Prix de l'Arc de Triomphe with Beulah Boy. Former wife Gulnara died of leukaemia. The Foreign Office considers him our bad boy.",supporting,Naziristani,male
162,Shirin Ismailova,Shirin Ismailova,[],"Majid Ismailov daughter. Manages the racing operation and is named heir to Buxor and all Ismailov interests. Knowledgeable about horses, warm, protective of Budoor.",minor,Afghan,female
163,Farad Ismailov,Farad Ismailov,[],"Son of Majid Ismailov. Educated at Trinity College, Oxford (PPE), and the Royal Military Academy, Sandhurst. Destined to succeed his father as leader of Naziristan, though he dreads the role. Compulsive gambler — debt at Caspian's has escalated to nearly half a million pounds after a catastrophic night using the Orphelins system. Desperately obsessed with Mimi Stackridge. Feels like an outsider in British high society despite his wealth. Drives an ice-blue Bentley. Controlled and polite but with repressed anger.",supporting,Naziristani,male
164,Camilla Best,Camilla Best,[],Model and face of Dior. Seen at Caspian's casino swapping secrets with Nate Paget and Crispin Vale.,mentioned,British,female
165,Crispin Vale,Crispin Vale,[],Co-proprietor of Caspian's casino in Berkeley Square alongside Nate Paget.,minor,British,male
166,Will Brookes,Will Brookes,[],"Former Camden Market stallholder who launched Rhino, a cryptocurrency. Farad lost a few hundred thousand pounds investing in it.",mentioned,British,male
167,Mimi Stackridge,Mimi Stackridge,[],"Pale, thin woman of indeterminate age. Wears an ivory satin dress. Speaks with a degraded private-school English accent. Uses cocaine. Flat, detached, and brutally direct in manner.",minor,British,female
168,Gulnara Ismailova,Gulnara Ismailova,[],"Former wife of Majid Ismailov, mother of Farad and Shirin. Divorced Majid a decade ago. Lived in Pakhtun, the Naziristani capital, preferring it to London. Died of leukaemia.",mentioned,Naziristani,female
169,Adam Shaw,Adam Shaw,[],"MI6 officer sent by Balice to brief V and Eve on the Ismailov mission. Hair combed back, subtly superior manner. Raised in the country, well acquainted with horses and racing. Professional and slightly condescending.",minor,British,male
170,Josh Riordan,Josh Riordan,[],Racehorse trainer based near Newmarket. Trains most of Majid Ismailov's twenty-odd horses.,minor,British,male
171,Davy McPhee,Davy McPhee,[],Stable lad who works with Budoor and Sofinisba at Josh Riordan's training yard near Newmarket.,minor,British,male
172,Joe,Joe Duffy,[],"Lead jockey at Josh Riordans yard. Will ride Beulah Boy in the Arc de Triomphe. Wiry, cheerful-looking, wearing a riding hat and raincoat. Laconic, understated, and perceptive. Irish — remarks that in Ireland they have horses instead of psychiatrists.",minor,Irish,male
173,Oliver Reynolds,Oliver Reynolds,['Ollie'],"School friend of Farad who inherited his fathers training yard near Bury St Edmunds. His father Rory Reynolds was a famous jump jockey who won the Grand National on The Bizzler before becoming a successful trainer. Rory died suddenly a couple of years earlier of a heart condition. Ollie is a heavy drinker, and the yard has probably declined since his fathers time.",minor,British,male
174,Sir Gavin Rycart,Sir Gavin Rycart,[],Commissioner of the Metropolitan Police of London. Speaks to Balice about the Marcus Hunt case and insists the Met cannot afford another scandal.,minor,British,male
175,Marcus Hunt,Marcus Hunt,[],Undercover police officer found battered to death in Regent Park. Had a significant history of alleged sexual offences that evaded vetting. His death prompted concerns about scandal within the Metropolitan Police.,minor,British,male
176,Wayne,,['Potato-head'],"Corrupt police officer and colleague of Marcus Hunt. Ginger-haired with a round head. Carries a taser and a Glock. Vulgar, sexist, and physically intimidating. Killed by Villanelle in the M11 motel.",minor,British,male
177,Azim,Azim,[],"Young Naziristani man in the service of Majid Ismailov at Great Ditton. Works in the kitchen alongside Zafar, preparing traditional Naziristani dishes.",minor,Naziristani,male
178,Zafar,Zafar,[],"Young Naziristani man in the service of Majid Ismailov at Great Ditton. Works in the kitchen alongside Azim, preparing traditional Naziristani dishes.",minor,Naziristani,male
179,Viktor Batyrshin,Viktor Batyrshin,['Viktor'],Pakhtun man captured at the Santon Stream bridge ransom exchange. Connected to the Budoor kidnapping operation.,minor,Naziristani,male
180,Rustam Dzhuraev,Rustam Dzhuraev,['PALANG'],"Naziristani mastermind behind the Budoor kidnapping. Educated, fluent in Russian and English. Frequented the Cafe Bulbul in Pakhtun where he recruited Viktor Batyrshin. Meticulously planned the entire operation: theft, logistics, ransom, and promised Viktor a British visa and wife. Childhood friend of Farad Ismailov.",supporting,Naziristani,male
181,Pete,,[],"Farrier who works at Josh Riordans yard. Large and burly, with calloused grimy hands and a leather apron. His girlfriend Errin works at Oliver Reynolds yard. Recognised Budoor disguised as Frisky Lou at Reynolds stable.",minor,British,male
182,Errin,,[],"Pete's girlfriend, working as a stable lad at Oliver Reynolds's yard.",mentioned,British,female
183,Captain Gladstone,,[],"Captain at the Dever Research Station MI6 safe house in Hampshire. Dry sense of humour, chess player, offers wine and Babys Leg pudding.",minor,British,male
184,Philippe Devereaux,Philippe Devereaux,[],"French racehorse owner. Owns Prince d'Aquitaine, the favourite for the Arc de Triomphe, based at Chantilly. In his late forties, wry and saturnine good looks. Wears Eau Sauvage. Extremely self-assured and lizardy — Eve imagines a forked tongue catching a fly.",minor,French,male
185,Shiki Goto,Shiki Goto,[],"Japanese racehorse owner. Owns Kintarou, a horse running in the Arc de Triomphe. Scrupulously polite. An enthusiast of Sailor Moon, comparing Eve's relationship to Sailor Uranus and Sailor Neptune.",minor,Japanese,male
186,Mirzoev,Mirzoev,[],Naziristani ambassador to France. Scrupulously polite at the formal lunch. His eyes narrow disapprovingly when Eve mentions leaving her husband for a woman.,minor,Naziristani,male
